Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Market
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,
2020-12-15,125.04808044433594,127.87999725341797,127.9000015258789,124.12999725341797,124.33999633789062,157243700,AAPL,USA
2020-12-16,124.97965240478516,127.80999755859375,128.3699951171875,126.55999755859375,127.41000366210938,98208600,AAPL,USA
2020-12-17,125.84992980957031,128.6999969482422,129.5800018310547,128.0399932861328,128.89999389648438,94359800,AAPL,USA
2020-12-18,123.85511779785156,126.66000366210938,129.10000610351562,126.12000274658203,128.9600067138672,192541500,AAPL,USA
2020-12-21,125.39035034179688,128.22999572753906,128.30999755859375,123.44999694824219,125.0199966430664,121251600,AAPL,USA
2020-12-22,128.95953369140625,131.8800048828125,134.41000366210938,129.64999389648438,131.61000061035156,168904800,AAPL,USA
2020-12-23,128.05990600585938,130.9600067138672,132.42999267578125,130.77999877929688,132.16000366210938,88223700,AAPL,USA
2020-12-24,129.04754638671875,131.97000122070312,133.4600067138672,131.10000610351562,131.32000732421875,54930100,AAPL,USA
2020-12-28,133.66299438476562,136.69000244140625,137.33999633789062,133.50999450683594,133.99000549316406,124486200,AAPL,USA
2020-12-29,131.88330078125,134.8699951171875,138.7899932861328,134.33999633789062,138.0500030517578,121047300,AAPL,USA
2020-12-30,130.75877380371094,133.72000122070312,135.99000549316406,133.39999389648438,135.5800018310547,96452100,AAPL,USA
2020-12-31,129.75160217285156,132.69000244140625,134.74000549316406,131.72000122070312,134.0800018310547,99116600,AAPL,USA
2021-01-04,126.5442123413086,129.41000366210938,133.61000061035156,126.76000213623047,133.52000427246094,143301900,AAPL,USA
2021-01-05,128.10877990722656,131.00999450683594,131.74000549316406,128.42999267578125,128.88999938964844,97664900,AAPL,USA
2021-01-06,123.79644012451172,126.5999984741211,131.0500030517578,126.37999725341797,127.72000122070312,155088000,AAPL,USA
2021-01-07,128.020751953125,130.9199981689453,131.6300048828125,127.86000061035156,128.36000061035156,109578200,AAPL,USA
2021-01-08,129.12576293945312,132.0500030517578,132.6300048828125,130.22999572753906,132.42999267578125,105158200,AAPL,USA
2021-01-11,126.12372589111328,128.97999572753906,130.1699981689453,128.5,129.19000244140625,100384500,AAPL,USA
2021-01-12,125.9477310180664,128.8000030517578,129.69000244140625,126.86000061035156,128.5,91951100,AAPL,USA
2021-01-13,127.99143981933594,130.88999938964844,131.4499969482422,128.49000549316406,128.75999450683594,88636800,AAPL,USA
2021-01-14,126.05529022216797,128.91000366210938,131.0,128.75999450683594,130.8000030517578,90221800,AAPL,USA
2021-01-15,124.3244857788086,127.13999938964844,130.22000122070312,127.0,128.77999877929688,111598500,AAPL,USA
2021-01-19,124.99921417236328,127.83000183105469,128.7100067138672,126.94000244140625,127.77999877929688,90757300,AAPL,USA
2021-01-20,129.1061553955078,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500,AAPL,USA
2021-01-21,133.8389892578125,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900,AAPL,USA
2021-01-22,135.99034118652344,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400,AAPL,USA
2021-01-25,139.75503540039062,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700,AAPL,USA
2021-01-26,139.98973083496094,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600,AAPL,USA
2021-01-27,138.91407775878906,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800,AAPL,USA
2021-01-28,134.05416870117188,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100,AAPL,USA
2021-01-29,129.03775024414062,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800,AAPL,USA
2021-02-01,131.16946411132812,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800,AAPL,USA
2021-02-02,132.00064086914062,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400,AAPL,USA
2021-02-03,130.97389221191406,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900,AAPL,USA
2021-02-04,134.3474884033203,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100,AAPL,USA
2021-02-05,133.93124389648438,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800,AAPL,USA
2021-02-08,134.07818603515625,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200,AAPL,USA
2021-02-09,133.19679260253906,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200,AAPL,USA
2021-02-10,132.58961486816406,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600,AAPL,USA
2021-02-11,132.33502197265625,135.1300048828125,136.38999938964844,133.77000427246094,135.89999389648438,64280000,AAPL,USA
2021-02-12,132.57003784179688,135.3699951171875,135.52999877929688,133.69000244140625,134.35000610351562,60145100,AAPL,USA
2021-02-16,130.4351348876953,133.19000244140625,136.00999450683594,132.7899932861328,135.49000549316406,80576300,AAPL,USA
2021-02-17,128.1337432861328,130.83999633789062,132.22000122070312,129.47000122070312,131.25,97918500,AAPL,USA
2021-02-18,127.02713012695312,129.7100067138672,130.0,127.41000366210938,129.1999969482422,96856700,AAPL,USA
2021-02-19,127.18379211425781,129.8699951171875,130.7100067138672,128.8000030517578,130.24000549316406,87668800,AAPL,USA
2021-02-22,123.39385223388672,126.0,129.72000122070312,125.5999984741211,128.00999450683594,103916400,AAPL,USA
2021-02-23,123.25675201416016,125.86000061035156,126.70999908447266,118.38999938964844,123.76000213623047,158273000,AAPL,USA
2021-02-24,122.75730895996094,125.3499984741211,125.55999755859375,122.2300033569336,124.94000244140625,111039900,AAPL,USA
2021-02-25,118.48745727539062,120.98999786376953,126.45999908447266,120.54000091552734,124.68000030517578,148199500,AAPL,USA
2021-02-26,118.75188446044922,121.26000213623047,124.8499984741211,121.19999694824219,122.58999633789062,164560400,AAPL,USA
2021-03-01,125.14680480957031,127.79000091552734,127.93000030517578,122.79000091552734,123.75,116307900,AAPL,USA
2021-03-02,122.53205108642578,125.12000274658203,128.72000122070312,125.01000213623047,128.41000366210938,102260900,AAPL,USA
2021-03-03,119.53533172607422,122.05999755859375,125.70999908447266,121.83999633789062,124.80999755859375,112966300,AAPL,USA
2021-03-04,117.64524841308594,120.12999725341797,123.5999984741211,118.62000274658203,121.75,178155000,AAPL,USA
2021-03-05,118.90858459472656,121.41999816894531,121.94000244140625,117.56999969482422,120.9800033569336,153766600,AAPL,USA
2021-03-08,113.95323944091797,116.36000061035156,121.0,116.20999908447266,120.93000030517578,154376600,AAPL,USA
2021-03-09,118.58538818359375,121.08999633789062,122.05999755859375,118.79000091552734,119.02999877929688,129525800,AAPL,USA
2021-03-10,117.49837493896484,119.9800033569336,122.16999816894531,119.44999694824219,121.69000244140625,111943300,AAPL,USA
2021-03-11,119.4374008178711,121.95999908447266,123.20999908447266,121.26000213623047,122.54000091552734,103026500,AAPL,USA
2021-03-12,118.52664184570312,121.02999877929688,121.16999816894531,119.16000366210938,120.4000015258789,88105100,AAPL,USA
2021-03-15,121.4254150390625,123.98999786376953,124.0,120.41999816894531,121.41000366210938,92403800,AAPL,USA
2021-03-16,122.97274017333984,125.56999969482422,127.22000122070312,124.72000122070312,125.69999694824219,115227900,AAPL,USA
2021-03-17,122.17949676513672,124.76000213623047,125.86000061035156,122.33999633789062,124.05000305175781,111932600,AAPL,USA
2021-03-18,118.0369873046875,120.52999877929688,123.18000030517578,120.31999969482422,122.87999725341797,121229700,AAPL,USA
2021-03-19,117.50814819335938,119.98999786376953,121.43000030517578,119.68000030517578,119.9000015258789,185549500,AAPL,USA
2021-03-22,120.83782196044922,123.38999938964844,123.87000274658203,120.26000213623047,120.33000183105469,111912300,AAPL,USA
2021-03-23,120.00540924072266,122.54000091552734,124.23999786376953,122.13999938964844,123.33000183105469,95467100,AAPL,USA
2021-03-24,117.60608673095703,120.08999633789062,122.9000015258789,120.06999969482422,122.81999969482422,88530500,AAPL,USA
2021-03-25,118.09574127197266,120.58999633789062,121.66000366210938,119.0,119.54000091552734,98844700,AAPL,USA
2021-03-26,118.70291900634766,121.20999908447266,121.4800033569336,118.91999816894531,120.3499984741211,94071200,AAPL,USA
2021-03-29,118.87921142578125,121.38999938964844,122.58000183105469,120.7300033569336,121.6500015258789,80819200,AAPL,USA
2021-03-30,117.42000579833984,119.9000015258789,120.4000015258789,118.86000061035156,120.11000061035156,85671900,AAPL,USA
2021-03-31,119.62348175048828,122.1500015258789,123.5199966430664,121.1500015258789,121.6500015258789,118323800,AAPL,USA
2021-04-01,120.45589447021484,123.0,124.18000030517578,122.48999786376953,123.66000366210938,75089100,AAPL,USA
2021-04-05,123.29591369628906,125.9000015258789,126.16000366210938,123.06999969482422,123.87000274658203,88651200,AAPL,USA
2021-04-06,123.59949493408203,126.20999908447266,127.12999725341797,125.6500015258789,126.5,80171300,AAPL,USA
2021-04-07,125.25454711914062,127.9000015258789,127.91999816894531,125.13999938964844,125.83000183105469,83466700,AAPL,USA
2021-04-08,127.66368865966797,130.36000061035156,130.38999938964844,128.52000427246094,128.9499969482422,88844600,AAPL,USA
2021-04-09,130.2490692138672,133.0,133.0399932861328,129.47000122070312,129.8000030517578,106686700,AAPL,USA
2021-04-12,128.52545166015625,131.24000549316406,132.85000610351562,130.6300048828125,132.52000427246094,91420000,AAPL,USA
2021-04-13,131.64947509765625,134.42999267578125,134.66000366210938,131.92999267578125,132.44000244140625,91266500,AAPL,USA
2021-04-14,129.29910278320312,132.02999877929688,135.0,131.66000366210938,134.94000244140625,87222800,AAPL,USA
2021-04-15,131.71804809570312,134.5,135.0,133.63999938964844,133.82000732421875,89347100,AAPL,USA
2021-04-16,131.38504028320312,134.16000366210938,134.6699981689453,133.27999877929688,134.3000030517578,84922400,AAPL,USA
2021-04-19,132.0509796142578,134.83999633789062,135.47000122070312,133.33999633789062,133.50999450683594,94264200,AAPL,USA
2021-04-20,130.35679626464844,133.11000061035156,135.52999877929688,131.80999755859375,135.02000427246094,94812300,AAPL,USA
2021-04-21,130.73875427246094,133.5,133.75,131.3000030517578,132.36000061035156,68847100,AAPL,USA
2021-04-22,129.2109832763672,131.94000244140625,134.14999389648438,131.41000366210938,133.0399932861328,84566500,AAPL,USA
2021-04-23,131.54177856445312,134.32000732421875,135.1199951171875,132.16000366210938,132.16000366210938,78657500,AAPL,USA
2021-04-26,131.93345642089844,134.72000122070312,135.05999755859375,133.55999755859375,134.8300018310547,66905100,AAPL,USA
2021-04-27,131.6103057861328,134.38999938964844,135.41000366210938,134.11000061035156,135.00999450683594,66015800,AAPL,USA
2021-04-28,130.8170623779297,133.5800018310547,135.02000427246094,133.0800018310547,134.30999755859375,107760100,AAPL,USA
2021-04-29,130.71913146972656,133.47999572753906,137.07000732421875,132.4499969482422,136.47000122070312,151101000,AAPL,USA
2021-04-30,128.74093627929688,131.4600067138672,133.55999755859375,131.07000732421875,131.77999877929688,109839500,AAPL,USA
2021-05-03,129.79856872558594,132.5399932861328,134.07000732421875,131.8300018310547,132.0399932861328,75135100,AAPL,USA
2021-05-04,125.20558166503906,127.8499984741211,131.49000549316406,126.69999694824219,131.19000244140625,137564700,AAPL,USA
2021-05-05,125.45040130615234,128.10000610351562,130.4499969482422,127.97000122070312,129.1999969482422,84000900,AAPL,USA
2021-05-06,127.05651092529297,129.74000549316406,129.75,127.12999725341797,127.88999938964844,78128300,AAPL,USA
2021-05-07,127.7333755493164,130.2100067138672,131.25999450683594,129.47999572753906,130.85000610351562,78973300,AAPL,USA
2021-05-10,124.4372787475586,126.8499984741211,129.5399932861328,126.80999755859375,129.41000366210938,88071200,AAPL,USA
2021-05-11,123.5151596069336,125.91000366210938,126.2699966430664,122.7699966430664,123.5,126142800,AAPL,USA
2021-05-12,120.43486022949219,122.7699966430664,124.63999938964844,122.25,123.4000015258789,112172300,AAPL,USA
2021-05-13,122.59302520751953,124.97000122070312,126.1500015258789,124.26000213623047,124.58000183105469,105861300,AAPL,USA
2021-05-14,125.02584838867188,127.44999694824219,127.88999938964844,125.8499984741211,126.25,81918000,AAPL,USA
2021-05-17,123.86830139160156,126.2699966430664,126.93000030517578,125.16999816894531,126.81999969482422,74244600,AAPL,USA
2021-05-18,122.47531127929688,124.8499984741211,126.98999786376953,124.77999877929688,126.55999755859375,63342900,AAPL,USA
2021-05-19,122.31834411621094,124.69000244140625,124.91999816894531,122.86000061035156,123.16000366210938,92612000,AAPL,USA
2021-05-20,124.88851165771484,127.30999755859375,127.72000122070312,125.0999984741211,125.2300033569336,76857100,AAPL,USA
2021-05-21,123.04428100585938,125.43000030517578,128.0,125.20999908447266,127.81999969482422,79295400,AAPL,USA
2021-05-24,124.6825180053711,127.0999984741211,127.94000244140625,125.94000244140625,126.01000213623047,63092900,AAPL,USA
2021-05-25,124.486328125,126.9000015258789,128.32000732421875,126.31999969482422,127.81999969482422,72009500,AAPL,USA
2021-05-26,124.4372787475586,126.8499984741211,127.38999938964844,126.41999816894531,126.95999908447266,56575900,AAPL,USA
2021-05-27,122.89712524414062,125.27999877929688,127.63999938964844,125.08000183105469,126.44000244140625,94625600,AAPL,USA
2021-05-28,122.2398681640625,124.61000061035156,125.80000305175781,124.55000305175781,125.56999969482422,71311100,AAPL,USA
2021-06-01,121.91614532470703,124.27999877929688,125.3499984741211,123.94000244140625,125.08000183105469,67637100,AAPL,USA
2021-06-02,122.6812973022461,125.05999755859375,125.23999786376953,124.05000305175781,124.27999877929688,59278900,AAPL,USA
2021-06-03,121.19023132324219,123.54000091552734,124.8499984741211,123.12999725341797,124.68000030517578,76229200,AAPL,USA
2021-06-04,123.49552917480469,125.88999938964844,126.16000366210938,123.8499984741211,124.06999969482422,75169300,AAPL,USA
2021-06-07,123.50532531738281,125.9000015258789,126.31999969482422,124.83000183105469,126.16999816894531,71057600,AAPL,USA
2021-06-08,124.32935333251953,126.73999786376953,128.4600067138672,126.20999908447266,126.5999984741211,74403800,AAPL,USA
2021-06-09,124.71194458007812,127.12999725341797,127.75,126.5199966430664,127.20999908447266,56877900,AAPL,USA
2021-06-10,123.71134948730469,126.11000061035156,128.19000244140625,125.94000244140625,127.0199966430664,71186400,AAPL,USA
2021-06-11,124.92774963378906,127.3499984741211,127.44000244140625,126.0999984741211,126.52999877929688,53522400,AAPL,USA
2021-06-14,127.99824523925781,130.47999572753906,130.5399932861328,127.06999969482422,127.81999969482422,96906500,AAPL,USA
2021-06-15,127.1741943359375,129.63999938964844,130.60000610351562,129.38999938964844,129.94000244140625,62746300,AAPL,USA
2021-06-16,127.67450714111328,130.14999389648438,130.88999938964844,128.4600067138672,130.3699951171875,91815000,AAPL,USA
2021-06-17,129.28329467773438,131.7899932861328,132.5500030517578,129.64999389648438,129.8000030517578,96721700,AAPL,USA
2021-06-18,127.97859191894531,130.4600067138672,131.50999450683594,130.24000549316406,130.7100067138672,108953300,AAPL,USA
2021-06-21,129.7836151123047,132.3000030517578,132.41000366210938,129.2100067138672,130.3000030517578,79663300,AAPL,USA
2021-06-22,131.43165588378906,133.97999572753906,134.0800018310547,131.6199951171875,132.1300048828125,74783600,AAPL,USA
2021-06-23,131.15696716308594,133.6999969482422,134.32000732421875,133.22999572753906,133.77000427246094,60214200,AAPL,USA
2021-06-24,130.8725128173828,133.41000366210938,134.63999938964844,132.92999267578125,134.4499969482422,68711000,AAPL,USA
2021-06-25,130.57821655273438,133.11000061035156,133.88999938964844,132.80999755859375,133.4600067138672,70783700,AAPL,USA
2021-06-28,132.2164306640625,134.77999877929688,135.25,133.35000610351562,133.41000366210938,62111300,AAPL,USA
2021-06-29,133.7369384765625,136.3300018310547,136.49000549316406,134.35000610351562,134.8000030517578,64556100,AAPL,USA
2021-06-30,134.35496520996094,136.9600067138672,137.41000366210938,135.8699951171875,136.1699981689453,63261400,AAPL,USA
2021-07-01,134.65907287597656,137.27000427246094,137.3300018310547,135.75999450683594,136.60000610351562,52485800,AAPL,USA
2021-07-02,137.29791259765625,139.9600067138672,140.0,137.75,137.89999389648438,78852600,AAPL,USA
2021-07-06,139.31874084472656,142.02000427246094,143.14999389648438,140.07000732421875,140.07000732421875,108181800,AAPL,USA
2021-07-07,141.8202362060547,144.57000732421875,144.88999938964844,142.66000366210938,143.5399932861328,104911600,AAPL,USA
2021-07-08,140.5155487060547,143.24000549316406,144.05999755859375,140.6699981689453,141.5800018310547,105575500,AAPL,USA
